Timestamp,Rastreio,Status,Mensagem,Video_Evidence
2026-01-07 15:50:10,BR267385420467Z,ERRO,Rastreio nao encontrado na lista,
2026-01-07 15:50:17,BR268061596895T,ERRO,Rastreio nao encontrado na lista,
2026-01-07 15:55:11,BR268061596895T,SUCESSO,NF: 000003811,NF_000003811_162935.mp4
2026-01-07 15:55:37,BR256445929969C,ERRO,Rastreio nao encontrado na lista,
2026-01-07 15:55:44,BR267385420467Z,SUCESSO,NF: 000003810,NF_000003810_162907.mp4
2026-01-07 16:03:37,BR267385420467Z,SUCESSO,NF: 000003810,NF_000003810_162907.mp4
2026-01-07 16:04:03,BR256445929969C,ERRO,Rastreio nao encontrado,
2026-01-07 16:04:16,BR268061596895T,SUCESSO,NF: 000003811,NF_000003811_162935.mp4
2026-01-07 16:08:28,BR267385420467Z,SUCESSO,NF: 000003810,NF_000003810_162907.mp4
2026-01-07 16:08:49,BR256445929969C,ERRO,Rastreio nao encontrado,
2026-01-07 16:08:54,BR268061596895T,SUCESSO,NF: 000003811,NF_000003811_162935.mp4
2026-01-07 16:13:19,BR267385420467Z,SUCESSO,NF: 000003810,NF_000003810_162907.mp4
2026-01-07 16:13:43,BR268061596895T,SUCESSO,NF: 000003811,NF_000003811_162935.mp4
2026-01-07 16:17:31,BR267385420467Z,SUCESSO,NF: 000003810,NF_000003810_162907.mp4
2026-01-07 16:17:52,BR268061596895T,SUCESSO,NF: 000003811,NF_000003811_162935.mp4
2026-01-07 16:18:17,BR256445929969C,ERRO,Rastreio nao encontrado,
2026-01-07 16:26:21,BR267385420467Z,SUCESSO,NF: 000003810,NF_000003810_162907.mp4
2026-01-07 16:29:07,BR267385420467Z,SUCESSO,NF: 000003810,NF_000003810_162907.mp4
2026-01-07 16:29:35,BR268061596895T,SUCESSO,NF: 000003811,NF_000003811_162935.mp4
